,City,Lat,Lon,Temperature,Min Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
581,zhezkazgan,47.80434,67.714401,58.98,58.98,58.98,58,0,6.71,KZ,1651459468
582,boffa,10.1812281,-14.0377043,80.28,80.28,80.28,83,84,2.33,GN,1651459469
583,yeniseysk,58.4532212,92.1748169,35.64,35.64,35.64,86,100,16.22,RU,1651459469
584,khor,47.882572,134.960938,49.77,49.77,49.77,49,87,5.91,RU,1651459470
585,mainburg,48.640589,11.7820705,43.38,39.56,47.01,90,30,1.99,DE,1651459471
586,mizan teferi,6.9952914,35.5868945,61.88,61.88,61.88,96,100,2.75,ET,1651459471
587,valparaiso,-33.0458456,-71.6196749,56.28,51.24,56.28,72,0,2.3,CL,1651459472
588,wanaka,-44.6941691,169.1364637,64.47,64.47,64.47,61,36,1.99,NZ,1651459473
589,isiro,2.7742702,27.6208169,64.36,64.36,64.36,99,100,2.71,CD,1651459473
590,aflu,34.11252,2.10029,51.85,51.85,51.85,61,26,3.8,DZ,1651459474
591,miguel auza,24.2926012,-103.4505529,71.46,71.46,71.46,10,97,18.28,MX,1651459474
592,boras,57.7210839,12.9407407,33.17,33.12,38.55,93,70,5.59,SE,1651459475
593,dunedin,-45.8740984,170.5035755,63.09,63.09,63.09,61,7,3.96,NZ,1651459476
594,quelimane,-17.87751,36.890216,70.92,70.92,71.55,94,40,3.44,MZ,1651459476
595,macusani,-14.0684826,-70.4313639,36.1,36.1,36.1,86,45,4.59,PE,1651459477
596,the pas,45.5326,5.51253,43.12,39.96,46.74,92,18,0.72,FR,1651459477
597,alice springs,-23.6983884,133.8812885,71.15,71.15,71.15,37,15,10.36,AU,1651459478
598,yunjinghong,22.0076522,100.8021496,76.32,76.32,76.32,68,94,3.36,CN,1651459479
599,kutum,14.2108373,24.649584,76.15,76.15,76.15,11,45,6.13,SD,1651459479
600,shalakusha,62.227791,40.255424,30.51,30.51,30.51,83,100,5.06,RU,1651459480
601,williams lake,52.1292657,-122.1397259,59.27,59.27,59.27,38,100,8.05,CA,1651459481
602,pozo colorado,-17.8378269,-63.3348721,71.6,71.6,71.6,66,36,5.79,BO,1651459481
